Player,NOTES
Christian McCaffrey,"You can try to make the argument that McCaffrey shouldn‘t go No. 1 overall this year, but you‘d lose the argument. Outside of saying, “running backs don‘t repeat as the top option,"" there‘s nothing that should suggest McCaffrey won‘t. He‘s not just a running back. He‘s a wide receiver. He scored 182.5 half-PPR points through the air alone, which would‘ve been the No. 20 wide receiver in fantasy last year, ahead of Stefon Diggs. Even if McCaffrey simply stopped playing football in Week 12, he would‘ve finished as the No. 1 running back by a massive 22.1 PPR points. The new offense and improved quarterback play shouldn‘t hurt at all."
Saquon Barkley,"After an extremely impressive rookie season, Barkley came back down to earth a bit in 2019, though 4.6 yards per carry behind that Giants offensive line is nothing to scoff at. Playing through injury was a clear net-negative to his overall numbers, and something he hopefully learned from. The biggest difference was breakaway runs of 15-plus yards, as Barkley rattled off 20 of them in his rookie season, but just nine of them in his sophomore season. With all the weapons in this offense, you have to wonder just how many targets Barkley will get, but trust me, the Giants are building their offense around him and not anyone else. If Daniel Jones can take a step forward in year two, it‘ll help open lanes for Barkley. It also doesn‘t hurt that they dramatically improved the offensive line this offseason."
Ezekiel Elliott,"There‘s only one running back over the last five years who‘s finished top-six three times, and that‘s Elliott. Oddly enough, he‘s never finished as No. 1 though. The Cowboys passing offense just got better with the addition of CeeDee Lamb, and while that may put a cap on Elliott‘s targets in the passing game, he should be free to rock against seven-man fronts. He saw eight-plus defenders in the box 19.3 percent of the time last year, a number that may dip down into the single digits, provided the Cowboys go three-wide more often than not. Stop trying to find “the next big thing,"" because Elliott has proven time and time again that he‘s among the safest picks at the top of the draft. He‘s posted RB2 or better numbers in 92.9 percent of his career games, which is better than any running back I‘ve ever charted. In fact, the closest is Le‘Veon Bell, who‘s hit that mark 87.0 percent of the time."
Derrick Henry,"Yes, Derrick Henry finished with 1,540 yards and 16 touchdowns last year en route to a No. 3 finish. Yes, he was dominant in the playoffs. We still can‘t forget that he was the No. 14 running back in points per game before Week 10 last year, behind David Johnson and Mark Ingram. Should we automatically assume Henry picks up where he left off in 2019? My issue with Henry is that he‘s not involved in the passing-game, which lowers his weekly floor. That alone will allow us to choose someone like Alvin Kamara over him. Henry is best-suited as a second-round pick rather than one in the first round."
Dalvin Cook,"It turns out Gary Kubiak is very good for a run-game. Cook took his game to another level in 2019, finishing as the No. 5 running back despite missing two games. Not only did he total 18-plus carries in eight games, but he also ranked third in yards per route run among running backs. With Stefon Diggs gone, we could see him highlighted even more in the passing game, though Justin Jefferson will eat some of them. Cook also led the league with 21 carries inside the five-yard-line. Health has always been a question mark with Cook, but when healthy, he‘s easily a top-10 back."
Alvin Kamara,"There‘s just one running back who‘s had a higher “boom” percentage (25-plus PPR points) than Kamara over the course of their careers, and that‘s Christian McCaffrey. Kamara has now topped 25 PPR points in 14 of his 45 career games, which is quite ridiculous. His 2019 season was easily his worst to date, though he still finished as the RB12 despite missing two games. The Saints offense continues to groove, and though Drew Brees is still playing great football, his arm strength is declining, which could lead to more targets than every for Kamara, who‘s averaged 6.7 targets per game over the first three years in a Saints uniform. Provided he doesn‘t get hurt, Kamara is a near-lock to finish as a top-six running back."
Nick Chubb,"Through 10 games last year, Chubb was doing very well and was the No. 4 running back (PPG) in half-PPR formats. Keep in mind that was despite the offense not being very good. From that point forward (when Kareem Hunt joined the offense), Chubb was the No. 18 running back while Hunt was the No. 26 running back. This is clearly more of a timeshare than Chubb owners would like, leaving him best-suited as a high-end RB2 rather than the RB1 he appeared destined to be."
Joe Mixon,"Mixon‘s value was up in the air for a week or two before he agreed on a new deal with the Bengals that will keep him in Cincinnati for several more seasons. With that locked in, Mixon is good to go for the 2020 season and it should be a good one. The downside for Mixon is his lack of usage in the passing game, which admittedly limits his upside a tad. But he was a true workhorse back over the latter half of the 2019 season, and will now be playing behind a better offensive line with a better quarterback in an offense that should score plenty of points. He may not have the ceiling of the top three or four backs being drafted, but if he‘s healthy, RB1 status is nearly a lock. Draft him with confidence."
Josh Jacobs,"We‘ve continually heard that Jacobs is going to be more heavily involved in the passing game, though that never materialized last year, seeing just 27 targets in 13 games played. Then we heard, “we‘re going to involve him more in 2020."" They then re-signed Jalen Richard, added Henry Ruggs, and Lynn Bowden. It‘s not looking likely that Jacobs sees the 50-plus targets he deserves, which lowers him down the rankings. The overall offense should improve, giving him more scoring opportunities, but relying on touchdowns is a tricky thing. He‘s best-suited as a high-end RB2 who has RB1 upside if they follow through on the promise to use him more in the passing game."
Clyde Edwards-Helaire,"I had Edwards-Helaire as my top running back in this year‘s class due to the way he fits the NFL today. He‘s a true three-down back who can catch 80-plus passes out of the backfield, while running for 1,000-plus yards. Landing with the Chiefs was a dream scenario, especially in the first round. Over the last seven years, running backs who‘ve been drafted in the first round have averaged 280.7 touches in year one. 75 percent of them have finished as an RB2 or better. Don‘t think this is Darwin Thompson all over again, as he was a sixth-round pick last year, and those average just 29.8 touches in year one. This is Edwards-Helaire‘s backfield after Andy Reid said he‘s better than Brian Westbrook on film. You don‘t take those players off the field very often. He‘s worth a second-round pick and would be a steal in the third round."
Michael Thomas,"I‘m not sure how many realize how rare Thomas’ season was in 2019. He saw 185 targets on a team that threw the ball just 581 times. That‘s a ridiculous 31.8 percent target share. Just so you know, it‘s rare for a receiver to see a 25 percent target share. I‘ve already stated in the Drew Brees paragraph that I expect this offense to throw just a bit less in 2020. Initial projections have them around 560 pass attempts, so bringing that down to even a 28 percent target share would force Thomas to lose about 28 targets. You can see why a repeat of last year‘s numbers are unlikely, especially when you factor in the arrival of Emmanuel Sanders as a rock-solid No. 2 receiver who‘ll garner more targets than Ted Ginn and/or Tre‘Quan Smith would‘ve. Still, Thomas is my WR1 heading into the season, because outside of injury, he‘s projected as my top receiver by a full 15 half-PPR points."
Davante Adams,"I‘m convinced that because Adams missed part of the 2019 season, many don‘t realize just how consistent he‘s been over the last few years. He‘s played 27 games over the last two years, and he‘s scored 16-plus PPR points in 23 of them. The Packers didn‘t add a wide receiver in the draft, so it‘s not likely his massive target-share is going away. He‘s the only other receiver who should be considered close to Michael Thomas in drafts."
Miles Sanders,"We all know Doug Pederson has loved his timeshares since coming to the Eagles, and after they moved on from Jordan Howard, many expected them to add a running back in the draft. Things can change, as there are a few free agent running backs out there, but for now, Sanders has the looks of a 15-plus touch running back."
Aaron Jones,"Despite having Aaron Rodgers under center, the Packers decided to add a third-string running back and fullback to their roster on Day 2 of the NFL Draft. Is that worrisome to Jones’ production? Maybe a bit, as Matt LaFleur seems to want to continue his timeshare ways. Jones is by far the most talented, so even if we were to see him dip down to 13-15 touches per game, that‘s enough for him to do damage, especially considering Rodgers targets him in the passing game. Jones is one of just two running backs (Alvin Kamara is the other) who‘ve finished with a top-30 season over the last 10 years with less than 300 touches. Jones is one of the most efficient running backs in football, though the coaching staff keeps him in RB2 territory."
Tyreek Hill,"He‘s a very good football player and one who can help you win fantasy weeks... but is he a No. 1 wide receiver on fantasy teams? In my Boom, Bust, and Everything In Between series, I highlighted the fact that he‘s been a WR2 or better in just 44.1 percent of his career games, while someone like Julio Jones has posted WR1 numbers in 42.4 percent of his games. Hill averaged just 7.4 targets per game last year, a number that will need to come up for him to be a more consistent fantasy option. Can it happen? Absolutely. The addition of Clyde Edwards-Helaire will not help that, nor will the supposed increase in Mecole Hardman offensive snaps. There were just two games in 2019 where Hill saw double-digit targets, which again, limits his consistency. By comparison, Davante Adams has averaged 11.0 targets per game over the last two years while Julio Jones saw 10-plus targets in 7-of-15 games in 2019. If you want to draft Hill as your WR1, I have no issue with it, but understand that you‘ll need to balance your roster throughout the remainder of the draft. Robert Woods is someone that immediately comes to mind as consistent and reliable, and would make a perfect complement to someone like Hill."
Kenyan Drake,"It‘s crazy to see Kenyan Drake not getting the respect he deserved when he performed the way he did under Kliff Kingsbury last year. Since coming over in Week 9, he was the No. 4 running back through the remainder of the fantasy season, and the Cardinals liked him enough to move on from David Johnson and not draft a running back until the seventh round."
Julio Jones,"Fade aging wide receivers, they said. Julio laughs as he posted his sixth straight season with more than 1,390 yards. He still has just one season under his belt with double-digit touchdowns, which is quite ridiculous when you consider he‘s had three seasons with 1,500-plus yards. He‘s as safe as they come at the wide receiver position. Think 31 years old is too old? Check out this piece on what age a wide receiver declines. There are a lot of fantasy owners drafting Tyreek Hill over him, and while I understand the upside Hill presents on a weekly basis, Jones presents stability that Hill can only dream of. Hill has posted WR2 or better numbers in 21-of-43 games (48.8 percent) over his career. Meanwhile, Jones has hit that mark in 64.8 percent of his career games and has posted WR1-type numbers in 42.4 percent of them. Sure, Calvin Ridley is going to ascend, but a lot of his ascension comes from the missing targets from Mohamed Sanu. Jones should be the No. 3 wide receiver off draft boards, at worst."
Travis Kelce,"It‘s now been four straight seasons where Kelce has finished with 1,000-plus yards. He‘s as safe as they come and should still be in the prime of his career at 30 years old. Patrick Mahomes took a step back in terms of touchdown percentage in 2019, but could very well bounce back to elite levels in 2020, giving Kelce consideration as a second-round pick in fantasy drafts. If you have “your guys” in the middle rounds, Kelce makes sense as an early-round pick. He‘s now posted TE1-type numbers in 28-of-32 games over the last two years. It also helps when you see 41.4 percent of your team‘s targets inside the 10-yard line, like Kelce did in 2019."
George Kittle,"He‘s just 26 years old and coming off 2,430 yards and 10 touchdowns over the previous two seasons despite missing two full games. Keep in mind that he was playing through injuries much of last season. The defense is surely going to take a slight step back in 2020, which will lead to more pass attempts, which will lead to more targets. The 49ers added Brandon Aiyuk who‘ll help stretch the field, which should in turn just open things a bit more for Kittle. His arrow continues to point up. The touchdowns may not match those of Travis Kelce, but we know not to rely on consistency in that department."
Austin Ekeler,"After seeing Ekeler‘s contract extension this offseason, it seemed a little light for a workhorse, leading many to believe they‘d draft a running back early on. They waited until the fourth round to select UCLA‘s Joshua Kelley, who‘s a bigger complementary back. The Chargers offense isn‘t likely going to be as high scoring as it was with Philip Rivers under center, but Ekeler remains the top dog in the backfield. Still, don‘t just anticipate this offense is going to be as potent, or that he‘ll have as many scoring opportunities, which is why he‘s best-suited as a high-end RB2 than an RB1."
Chris Carson,"If we knew Carson would be healthy the entire season, he‘d be ranked as a top-12 running back. But we don‘t. There is a lot of uncertainty surrounding the Seahawks backfield, as Carson is coming off a season-ending hip injury, while Rashaad Penny is recovering from a torn ACL, and they drafted DeeJay Dallas in the fourth round of the draft. You‘ll want to pay close attention to this backfield as we approach fantasy draft season."
Chris Godwin,"NextGenStats tracks each player‘s usage and routes throughout every game, and I wish I could remember who posted it, but Godwin‘s routes were essentially the same exact ones that Bruce Arians used for Larry Fitzgerald back in Arizona. That‘s a very good thing. I want to do an exercise with you. Close your eyes and imagine Tom Brady dropping back to pass. What do you see? Do you see him muscling a pass towards the sideline? I didn‘t think so. I also saw him targeting a receiver over the middle of the field. Godwin played 63.4 percent of his snaps last year in the slot. He was second in the league in slot yards (838) behind only Cooper Kupp, and despite seeing 31 fewer slot targets than Kupp, he only finished with 15 fewer yards and the same number of touchdowns. Godwin‘s average depth of target was 10.4 yards last year while Mike Evans’ was 15.3 yards. The average depth of target for Brady last year was 7.6 yards down the field. It‘s clear that Godwin should quickly become a favorite of Brady, who hates to take risks, as Godwin is a better separator than Evans. Believe it or not, there‘s a clear path for Godwin to finish as the WR1 in 2020. I don‘t say that about many receivers. He‘s in the tier immediately after Michael Thomas, Davante Adams, and Julio Jones."
Kenny Golladay,"We‘ve watched Golladay ascending into the clear-cut No. 1 role in the Lions offense, and even though he did finish as the No. 6 wide receiver in 2019, there‘s still some meat left on the bone. Matthew Stafford went down in Week 9 last year. Golladay had four games with 23-plus PPR points with Stafford in the lineup, and just one game with more than 18 PPR points without him. If Stafford can stay healthy, Golladay should return WR1 numbers."
Todd Gurley,"The Rams offense was in complete disarray last year, as their offensive line started to crumble, which dragged Gurley‘s efficiency down the drain. He did show that he‘s still able to handle a big workload down the stretch, finishing with 98 touches over the final five games. Now going to the Falcons, who have one of the better offensive lines in football, with little competition, Gurley could return to RB1 status. It‘s a high-scoring offense where the running backs have averaged 1,383 yards and 9.7 touchdowns on the ground, while averaging another 572 yards and 4.7 touchdowns through the air over the last three years. With Ito Smith and Brian Hill the only running backs behind him, Gurley should receive most of the work/production."
