"Rank","Player","Team","Bye","POS","CBS","MFL","Fantrax","AVG"
"1","Christian McCaffrey","CAR","13","RB1","","1","1","1.0"
"2","Ezekiel Elliott","DAL","10","RB2","","3","2","2.5"
"3","Saquon Barkley","NYG","11","RB3","","2","3","2.5"
"4","Derrick Henry","TEN","7","RB4","","4","6","5.0"
"5","Michael Thomas","NO","6","WR1","","7","4","5.5"
"6","Dalvin Cook","MIN","7","RB5","","6","5","5.5"
"7","Alvin Kamara","NO","6","RB6","","5","7","6.0"
"8","Davante Adams","GB","5","WR2","","12","9","10.5"
"9","Nick Chubb","CLE","9","RB7","","11","12","11.5"
"10","Tyreek Hill","KC","10","WR3","","16","8","12.0"
"11","Joe Mixon","CIN","9","RB8","","15","10","12.5"
"12","Julio Jones","ATL","10","WR4","","17","11","14.0"
"13","Josh Jacobs","LV","6","RB9","","14","14","14.0"
"14","Clyde Edwards-Helaire","KC","10","RB10","","9","22","15.5"
"15","DeAndre Hopkins","ARI","8","WR5","","20","13","16.5"
"16","Aaron Jones","GB","5","RB11","","13","20","16.5"
"17","Lamar Jackson","BAL","8","QB1","","10","24","17.0"
"18","Travis Kelce","KC","10","TE1","","18","16","17.0"
"19","Patrick Mahomes","KC","10","QB2","","8","27","17.5"
"20","Chris Godwin","TB","13","WR6","","23","15","19.0"
"21","Kenyan Drake","ARI","8","RB12","","22","17","19.5"
"22","Miles Sanders","PHI","9","RB13","","19","23","21.0"
"23","George Kittle","SF","11","TE2","","25","18","21.5"
"24","Kenny Golladay","DET","5","WR7","","27","19","23.0"
"25","Austin Ekeler","LAC","10","RB14","","21","25","23.0"
"26","Mike Evans","TB","13","WR8","","26","21","23.5"
"27","Amari Cooper","DAL","10","WR9","","28","28","28.0"
"28","Todd Gurley","ATL","10","RB15","","24","33","28.5"
"29","Odell Beckham Jr.","CLE","9","WR10","","36","26","31.0"
"30","JuJu Smith-Schuster","PIT","8","WR11","","34","31","32.5"
