Player,Tier,Round
Patrick Mahomes  KC,1,After 25
Lamar Jackson  BAL,1,After 25
Dak Prescott  DAL,2,Rounds 5-6
Russell Wilson  SEA,2,Rounds 5-6
Kyler Murray  ARI,2,Rounds 5-6
Deshaun Watson  HOU,2,Rounds 5-6
Tom Brady  TB,3,Round 9
Matt Ryan  ATL,3,Round 9
Drew Brees  NO,3,Round 9
Josh Allen  BUF,3,Round 9
Matthew Stafford  DET,3.5,Round 9-10
Carson Wentz  PHI,3.5,Round 9-10
Ben Roethlisberger  PIT,4,Round 11+
Daniel Jones  NYG,4,Round 11+
Jared Goff  LAR,4,Round 11+
Aaron Rodgers  GB,4,Round 11+
Cam Newton  NE,4,Round 11+
Ryan Tannehill  TEN,5,Late
Gardner Minshew  JAC,5,Late
Joe Burrow  CIN,5,Late
Drew Lock  DEN,5,Late
Teddy Bridgewater  CAR,5,Late
Tyrod Taylor  LAC,5,Late
