Player,Tier,Round
Christian McCaffrey  CAR,1,Round 1
Ezekiel Elliott  DAL,1,Round 1
Saquon Barkley  NYG,1,Round 1
Alvin Kamara  NO,1,Round 1
Derrick Henry  TEN,1,Round 1
Dalvin Cook  MIN,1.5,Round 1
Clyde Edwards-Helaire  KC,1.5,Round 1
Josh Jacobs  LV,1.5,Round 1
Miles Sanders  PHI,1.5,Round 1
Joe Mixon  CIN,1.5,Round 1
Nick Chubb  CLE,1.5,Round 1
Austin Ekeler  LAC,2,Round 2
Kenyan Drake  ARI,2,Round 2
Aaron Jones  GB,2,Round 2
James Conner  PIT,2,Round 2
Chris Carson  SEA,2,Round 2
Melvin Gordon  DEN,3,Between 35-50
Todd Gurley  ATL,3,Between 35-50
Ronald Jones  TB,3,Between 35-50
Mark Ingram  BAL,3,Between 35-50
Le'Veon Bell  NYJ,3,Between 35-50
Leonard Fournette  JAC,3,Between 35-50
David Johnson  HOU,4,Round 5
D'Andre Swift  DET,4,Round 5
Cam Akers  LAR,4,Round 5
Raheem Mostert  SF,4,Round 5
Jonathan Taylor  IND,4,Round 5
Devin Singletary  BUF,4,Round 5
