Player,Tier,Round
Michael Thomas  NO,1,Top 20 Overall
Davante Adams  GB,1,Top 20 Overall
Julio Jones  ATL,1,Top 20 Overall
Tyreek Hill  KC,1,Top 20 Overall
DeAndre Hopkins  ARI,1,Top 20 Overall
Chris Godwin  TB,1,Top 20 Overall
Cooper Kupp  LAR,2,Round 2-3
Kenny Golladay  DET,2,Round 2-3
Calvin Ridley  ATL,2,Round 2-3
Tyler Lockett  SEA,2,Round 2-3
Mike Evans  TB,2,Round 2-3
A.J. Brown  TEN,2,Round 2-3
Allen Robinson  CHI,2,Round 2-3
D.J. Moore  CAR,2,Round 2-3
Robert Woods  LAR,3,Round 4
Adam Thielen  MIN,3,Round 4
DK Metcalf  SEA,3,Round 4
JuJu Smith-Schuster  PIT,3,Round 4
Terry McLaurin  WAS,3,Round 4
Amari Cooper  DAL,3,Round 4
Odell Beckham  CLE,3,Round 4
D.J. Chark  JAC,3,Round 4
Courtland Sutton  DEN,4,Round 5-6
Marquise Brown  BAL,4,Round 5-6
Stefon Diggs  BUF,4,Round 5-6
A.J. Green  CIN,4,Round 5-6
Tyler Boyd  CIN,4,Round 5-6
Keenan Allen  LAC,4,Round 5-6
T.Y. Hilton  IND,4,Round 5-6
Michael Gallup  DAL,4,Round 5-6
DeVante Parker  MIA,5,Round 7
Jarvis Landry  CLE,5,Round 7
Darius Slayton  NYG,5,Round 7
Diontae Johnson  PIT,5,Round 7
Brandin Cooks  HOU,5,Round 7
Will Fuller  HOU,5,Round 7
Preston Williams  MIA,6,Round 8-9
Jalen Reagor  PHI,6,Round 8-9
CeeDee Lamb  DAL,6,Round 8-9
Jerry Jeudy  DEN,6,Round 8-9
Julian Edelman  NE,6,Round 8-9
Anthony Miller  CHI,6,Round 8-9
Henry Ruggs III  LV,6,Round 8-9
Marvin Jones  DET,6,Round 8-9
Christian Kirk  ARI,6,Round 8-9
Sterling Shepard  NYG,7,Round 10-11
DeSean Jackson  PHI,7,Round 10-11
Allen Lazard  GB,7,Round 10-11
Mecole Hardman  KC,7,Round 10-11
Breshad Perriman  NYJ,7,Round 10-11
Steven Sims  WAS,7,Round 10-11
